Time (Sec);S10;S11;S12;S13;S18;S5;S6;S8;S9;
3.0165226666666682;19159.98060619999;19159.98060619999;19159.97854699999;19159.98060619999;19159.9876448;19159.981978399985;19159.981978399985;19159.97854699999;19159.98060619999;
3.0171960000000015;19159.98060619999;19159.98060619999;19159.97428459999;19159.98060619999;19159.9876448;19159.981978399985;19159.981978399985;19159.97428459999;19159.98060619999;
3.020333333333335;19159.98060619999;19159.98060619999;19159.97428459999;19159.97854699999;19159.9876448;19159.981978399985;19159.981978399985;19159.97428459999;19159.97854699999;
3.0204933333333353;19159.98060619999;19159.98060619999;19159.97414159999;19159.97854699999;19159.9876448;19159.981978399985;19159.981978399985;19159.97414159999;19159.97854699999;
3.0211666666666686;19159.98060619999;19159.98060619999;19159.97414159999;19159.97428459999;19159.9876448;19159.981978399985;19159.981978399985;19159.97414159999;19159.97428459999;
3.024304000000002;19159.97854699999;19159.98060619999;19159.97414159999;19159.97428459999;19159.9855856;19159.981978399985;19159.981978399985;19159.97414159999;19159.97428459999;
4.000000000000003;19159.97414159999;19159.97414159999;19159.97414159999;19159.97414159999;19159.9835264;19159.981978399985;19159.981978399985;19159.97414159999;19159.97414159999;
4.01652266666667;19159.97414159999;19159.97414159999;19159.97414159999;19159.97414159999;19159.9835264;19159.981878399984;19159.981878399984;19159.97414159999;19159.97414159999;
4.017356000000003;19159.97414159999;19159.97414159999;19159.97414159999;19159.97414159999;19159.9835264;19159.977615999982;19159.977615999982;19159.97414159999;19159.97414159999;
4.020493333333336;19159.97414159999;19159.97414159999;19159.97208239999;19159.97414159999;19159.9835264;19159.977615999982;19159.977615999982;19159.97208239999;19159.97414159999;
4.020653333333336;19159.97414159999;19159.97414159999;19159.97208239999;19159.97414159999;19159.9835264;19159.97747299998;19159.97747299998;19159.97208239999;19159.97414159999;
4.02132666666667;19159.97414159999;19159.97414159999;19159.967819999987;19159.97414159999;19159.9835264;19159.97747299998;19159.97747299998;19159.967819999987;19159.97414159999;
4.024464000000003;19159.97414159999;19159.97414159999;19159.967819999987;19159.97208239999;19159.9835264;19159.97747299998;19159.97747299998;19159.967819999987;19159.97208239999;
4.024624000000003;19159.97414159999;19159.97414159999;19159.967676999986;19159.97208239999;19159.9835264;19159.97747299998;19159.97747299998;19159.967676999986;19159.97208239999;
